,spotId,cellCount
316,X17x41,9
317,X97x49,11
2509,X33x53,10
318,X46x28,6
319,X88x26,8
320,X34x58,13
321,X18x40,10
322,X112x58,14
323,X101x51,3
324,X106x48,12
325,X44x32,6
326,X110x64,15
327,X38x40,3
328,X82x46,16
329,X72x64,11
330,X97x21,11
331,X75x29,10
332,X55x21,9
333,X98x14,14
2510,X106x34,10
334,X24x58,4
335,X6x48,19
336,X54x36,11
337,X13x53,11
338,X72x60,12
339,X93x41,4
2511,X20x56,10
340,X65x27,10
341,X81x53,10
342,X35x31,6
343,X68x64,10
344,X58x56,14
345,X95x51,18
346,X19x53,11
347,X52x22,5
348,X105x67,14
349,X58x64,8
350,X89x63,14
351,X81x23,10
352,X26x42,3
353,X111x73,14
354,X49x61,5
355,X103x17,11
356,X22x50,14
357,X14x50,12
2512,X37x51,10
358,X55x25,11
359,X108x64,17
360,X55x57,9
361,X92x24,12
362,X62x62,10
363,X12x50,13
364,X66x66,11
365,X71x45,14
366,X86x64,8
367,X99x21,12
368,X74x16,8
369,X109x57,13
370,X86x52,9
371,X76x38,11
372,X88x18,16
373,X107x39,14
374,X45x41,12
375,X84x20,11
376,X28x54,13
377,X100x68,12
2513,X23x41,10
378,X65x61,7
379,X85x43,13
380,X45x43,11
381,X98x18,10
382,X98x52,13
383,X65x53,8
384,X96x46,12
385,X95x71,8
386,X16x48,15
387,X86x26,14
388,X49x59,10
389,X99x49,18
390,X38x28,7
391,X25x45,8
392,X88x62,6
393,X17x59,8
394,X112x16,14
395,X42x50,5
396,X89x13,6
397,X110x36,7
398,X53x55,7
399,X113x29,8
400,X20x44,15
401,X65x35,5
402,X113x15,7
403,X97x37,12
404,X92x34,11
405,X88x30,15
406,X63x33,11
407,X31x35,7
408,X109x35,6
409,X20x46,7
410,X104x26,14
411,X104x70,12
2514,X56x64,10
2515,X115x43,10
412,X74x22,7
413,X67x41,11
414,X107x71,15
415,X77x71,11
416,X109x29,7
417,X79x25,7
418,X88x56,10
419,X98x16,14
2516,X26x58,10
420,X52x58,6
421,X47x41,6
422,X90x48,10
423,X99x55,15
424,X100x42,15
425,X93x17,11
426,X90x38,15
427,X39x25,6
428,X23x47,4
429,X112x40,13
430,X81x65,12
431,X91x57,12
432,X29x51,6
433,X111x29,10
434,X30x54,5
435,X66x24,8
436,X77x67,15
437,X102x44,12
438,X52x44,11
439,X87x35,15
440,X103x29,7
441,X109x67,13
442,X89x59,13
443,X49x45,8
444,X87x33,12
445,X96x52,13
446,X42x46,10
447,X91x61,13
448,X89x41,10
449,X95x73,9
450,X94x24,13
451,X86x62,15
2517,X12x40,10
452,X9x47,16
453,X95x17,12
454,X44x40,9
455,X80x16,11
456,X25x51,14
457,X89x15,13
458,X50x30,11
459,X65x43,10
460,X63x65,12
461,X106x68,13
462,X74x58,12
463,X102x48,13
464,X31x47,6
465,X61x47,14
466,X107x57,20
467,X50x34,11
468,X28x38,3
469,X81x35,18
470,X75x25,13
2518,X114x10,10
471,X72x50,9
472,X103x27,11
473,X108x36,7
2519,X52x46,10
474,X63x47,9
475,X77x61,10
476,X64x64,9
477,X72x56,8
478,X29x35,7
479,X115x15,4
480,X64x58,13
481,X78x40,11
482,X22x56,11
483,X82x22,11
484,X77x55,12
485,X93x47,15
486,X63x63,9
487,X105x59,16
488,X61x21,8
489,X84x58,8
490,X92x28,14
491,X45x33,3
492,X48x26,10
493,X93x27,9
494,X98x62,12
495,X114x72,5
496,X33x43,4
497,X97x25,17
498,X71x21,8
499,X64x28,12
500,X57x41,4
501,X102x38,15
502,X68x58,10
503,X74x54,11
504,X94x66,13
505,X1x49,18
506,X108x62,20
507,X11x63,4
508,X105x37,8
509,X6x56,3
510,X110x38,3
511,X92x58,12
512,X87x19,17
513,X61x35,11
514,X97x35,11
515,X40x44,7
516,X77x51,12
517,X55x31,8
518,X107x47,11
519,X33x49,4
520,X65x33,10
521,X19x61,7
522,X82x20,14
523,X36x46,4
524,X67x21,6
525,X42x44,12
526,X87x57,8
527,X15x49,12
2520,X87x23,10
528,X106x62,18
529,X59x39,7
530,X1x63,3
2521,X37x25,10
531,X27x43,7
532,X72x62,12
533,X52x50,12
534,X46x40,9
535,X14x62,5
536,X48x44,11
2522,X26x38,10
537,X47x45,10
538,X63x43,14
539,X61x23,9
540,X57x25,8
541,X105x45,10
542,X111x23,11
543,X76x52,8
544,X96x20,10
545,X98x58,11
546,X67x55,10
547,X88x70,10
548,X65x67,12
549,X108x60,14
2523,X72x16,10
550,X101x29,6
551,X57x67,18
552,X69x61,13
553,X76x26,10
554,X104x64,14
555,X44x26,9
556,X108x30,10
557,X46x22,4
558,X30x52,5
559,X88x48,15
560,X35x25,3
561,X50x44,7
2524,X11x59,10
562,X45x27,7
563,X65x25,11
564,X105x15,13
565,X91x43,11
566,X75x31,14
567,X83x19,11
568,X109x13,13
569,X71x35,11
570,X104x48,17
571,X76x60,12
572,X112x56,18
573,X7x53,17
574,X66x36,8
575,X79x19,7
576,X61x27,10
2525,X18x64,10
577,X91x45,14
578,X85x45,17
579,X112x32,18
580,X112x64,18
581,X64x66,12
582,X72x68,7
583,X22x46,8
584,X57x23,9
585,X71x47,14
586,X92x68,8
587,X59x43,7
588,X66x22,11
589,X79x23,8
590,X108x50,4
2526,X30x40,10
591,X100x22,16
592,X105x25,14
593,X71x37,14
594,X78x18,8
2527,X115x33,10
595,X53x21,8
596,X37x59,10
597,X97x67,14
598,X100x58,7
599,X68x56,12
600,X98x20,7
601,X60x46,11
602,X89x61,9
603,X0x60,10
604,X107x15,9
605,X26x36,4
606,X107x65,13
607,X110x42,13
608,X49x31,9
609,X114x20,12
610,X8x52,17
611,X99x33,15
612,X84x64,7
613,X99x51,11
614,X43x35,6
615,X102x54,13
616,X106x72,12
617,X103x35,16
618,X85x15,7
619,X109x11,13
620,X38x30,9
621,X111x31,11
2528,X35x55,10
622,X31x53,3
2529,X0x58,10
623,X84x40,12
624,X71x19,11
625,X70x70,7
626,X47x47,10
627,X40x30,9
628,X111x45,16
629,X30x56,7
630,X24x44,4
631,X53x45,8
632,X103x61,14
633,X50x20,4
634,X113x55,15
635,X79x15,4
636,X55x59,6
637,X74x46,16
638,X89x45,11
639,X38x32,6
640,X66x18,7
641,X72x54,12
642,X68x40,9
643,X100x66,14
644,X110x34,5
645,X94x40,20
646,X74x26,7
2530,X10x40,10
647,X40x54,7
648,X88x12,7
649,X82x54,15
650,X86x28,15
2531,X115x37,10
651,X65x29,6
652,X4x56,3
653,X63x37,4
654,X112x14,12
655,X50x42,6
656,X103x55,15
657,X89x33,10
658,X59x31,10
659,X60x20,11
660,X97x57,15
661,X60x62,6
662,X112x60,16
663,X114x54,7
664,X73x47,14
665,X75x57,12
666,X64x38,13
667,X90x18,8
668,X108x44,15
2532,X4x54,10
