"x"
"Ntsr2",6.61597913952972
"Plpp3",6.23627194286263
"Aldoc",3.5240922772416
"Slc1a3",4.12067092834725
"Gja1",6.86907813436641
"Slc6a11",4.83496068402296
"Gpr37l1",5.29837416789592
"Atp1a2",5.84501375576375
"Pla2g7",5.01249100702948
"Atp1b2",5.03092896956233
"Mt1",3.25695800531567
"Bcan",5.06832616855047
"Sparcl1",1.57088623842181
"Ndrg2",3.01961038852224
"Apoe",3.53993136147719
"Ptprz1",5.5614950702131
"Rcn2",3.42502723166152
"Cst3",4.11574880277835
"Fam107a",4.63883264230685
"Cbs",8.27043412449664
"Mlc1",5.61284267029344
"Hopx",11.5506053932599
"Mfge8",6.65024111022111
"Cldn10",8.77480695859203
"S1pr1",6.10545346074643
"Fjx1",8.062186354123
"Ttr",79.7272359829381
"1500015O10Rik",28.347686007081
"Calml4",14.8674572187355
"Kl",13.6724698311684
"Clic6",13.6087346540734
"Folr1",19.081446102702
"Kcne2",8.88747184708271
"Kcnj13",8.22590545001523
"F5",6.72152512458592
"Prr32",6.83923356375345
"Otx2",8.18006307100132
"Wfdc2",6.5693550169208
"Slc4a5",13.6332316785755
"Tmem72",14.0009017521703
"Lbp",7.81498605753866
"Th",7.92027979569182
"Iqsec3",5.47529813277643
"Ptpro",3.88774669975022
"Gad1",1.56648739942431
"Trh",47.1102911533184
"Pax6",7.03779244126717
"Scgn",7.78455222616076
"Sall3",7.73680577853096
"Sp9",6.44944674339553
"Gng4",3.114267804428
"Synpr",2.63538609479394
"Cpne4",3.83526952346006
"Shisa8",5.20400298193696
"Inpp5j",3.98632114099455
"Gpsm1",4.19333486212329
"Meis2",4.86080837214577
"Drd1",4.79276425628105
"Ppp1r1b",4.37234135260984
"Rgs9",3.44247223035066
"Adora2a",7.69914713997259
"Ido1",7.33347927172536
"Penk",2.86199726204837
"Gpr88",2.58060579465736
"Tac1",4.30521040577785
"Pdyn",4.71814161127043
"Foxp2",7.54058415745816
"Rxrg",5.57626829997588
"Hs3st2",7.01408449162937
"Pde1a",5.73800683275529
"Myl4",8.27573904538407
"Dkkl1",7.88319617934954
"Igfbp6",7.49623221656926
"Rasl10a",7.59262752770424
"Neurod6",6.61902870823474
"Dkk3",4.76066271759874
"Cck",4.90593452170767
"Slc17a7",4.3069897804047
"Nptx1",3.74445553331104
"Olfm1",1.51767557875277
"Lingo1",3.60014755600933
"Sv2b",3.81159249986002
"3110035E14Rik",4.09306542382149
"Enc1",2.556447032258
"Nrn1",6.86550780864071
"Fxyd7",3.85435528893655
"Nell2",3.75818908574198
"Lmo4",3.73383665976817
"Adcy1",3.73270570723751
"Tbr1",3.91973958928875
"Zbtb18",3.67670391621148
"Osbpl1a",3.85883746959515
"Miat",5.08508761837165
"Mpped1",4.09887112832148
"Neurod2",6.8194528188303
"Pgm2l1",7.14291574485618
"Chn1",1.66198848272274
"Stx1a",3.52131388307458
"Stmn2",3.39138486777091
"Diras2",3.32794519151112
"Coro1a",4.15905936307936
"Mal2",3.17584878134392
"Id2",3.48731887451177
"Clstn1",1.46580169028673
"Scn1b",1.67288448637829
"Mical2",3.7507018291084
"Vsnl1",2.01584080029278
"1110008P14Rik",2.26099404835605
"Nxph3",9.01201216163255
"Fezf2",6.60613110625774
"Satb2",7.37521970967886
"Gm11549",7.19484348838945
"Ddit4l",6.97362572518895
"Hexb",38.1060983993281
"C1qa",46.7364021585812
"C1qb",29.3454370532615
"Ctss",46.4533474301152
"C1qc",26.5773510595654
"Selplg",24.5248922625089
"P2ry12",44.2441592321099
"Ctsd",5.08430767763902
"Tyrobp",21.5845427409775
"Csf1r",13.7970130808474
"Lgmn",11.189117880403
"Serinc3",2.25495875752967
"Tmsb4x",2.37957557997728
"Clta",1.95455436991615
"Rplp1",0.502925011196747
"Doc2g",7.32306178741996
"Ms4a15",13.1432174918709
"Cdhr1",11.2799313431894
"Eomes",12.5227491680578
"Nmb",11.3337167036407
"Fabp7",22.5449859160251
"Prss56",15.9143864357602
"Mgst1",18.469782189775
"Clca3a1",5.57556146387001
"Cldn11",53.6456740014809
"Cryab",20.7006913238201
"Trf",11.3807259239966
"Opalin",28.3942366241349
"Car2",12.4643202812868
"Ermn",19.965985752771
"Mog",42.8546287191155
"Mobp",13.9241633513304
"Gatm",13.4206628957708
"Ppp1r14a",26.1034250339875
"Qdpr",11.0584404047865
"Mbp",3.71011147047498
"Tspan2",25.7275828069177
"Gpr37",9.27191982017567
"Pllp",18.053472388892
"Ndrg1",8.668052024248
"Tmem88b",14.5880916474671
"Fa2h",19.9302773810998
"Ugt8a",23.6693661574454
"Plekhb1",4.39808688796979
"Gsn",15.0324500173309
"Tmbim1",10.8642440111912
"Csrp1",7.72032075532947
"Grb14",22.5772846499802
"Mal",40.7986581319666
"Plp1",59.333006202048
"Mag",16.4933176154736
"Rhog",8.48843165439347
"Cmtm5",9.46741886655442
"Cnp",26.737703890291
"Nmral1",10.1008253342761
"Prr18",9.00373762918236
"Myrf",10.2805151009613
"Gabrq",11.0802167654565
"Irs4",11.297564307427
"Ngb",11.2948145548935
"Dlk1",11.7319603663118
"Peg10",10.4807396368256
"Nts",7.98930638683351
"Baiap3",5.11299770969751
"Col1a2",27.3882535400116
"Fmod",14.4906482936303
"Slc13a4",8.39835190418183
"Gjb2",16.8777734025717
"Aebp1",14.9332251937373
"Mgp",9.47634343188419
"Ptgds",12.0048845910771
"Slc13a3",7.66740557450689
"Bmp7",8.97912218273417
"Slc6a13",24.9933609767962
"Aldh1a2",14.1046015686056
"Slc6a20a",16.8500438250869
